screen_id,screen_name,platform,user_role,purpose,required_data,primary_actions,empty_state,loading_state,error_state,permission,moderation_requirement,release,change_vs_current_ui
M-AUTH-011,Chấp nhận Tiêu chuẩn cộng đồng,Mobile,Verified pending adult,Set UGC and conduct obligations before posting/interacting.,Community Standards version; key prohibited-content summary.,Read; accept; decline and exit.,Not applicable.,Loading/saving.,Document unavailable; save failed.,Pending adult user.,Mandatory before UGC; acceptance audit record.,V1,New mandatory screen.
M-PROF-001,Tạo hồ sơ,Mobile,Authenticated adult,Create minimum safe Social profile.,Username; display name; province; bio; interests; creator intent optional.,Save profile; check username; continue.,Form defaults; no forced gender role.,Username availability and save state.,Validation; duplicate username; moderation block.,Authenticated adult; own profile only.,Bio/username pass automated rules; suspicious content can be pending/rejected.,V1,Rebuild A4; remove “danh tính ẩn danh” claim and do not require gender for financial role.
M-PROF-002,Chỉnh sửa hồ sơ,Mobile,Authenticated user,Update permitted profile fields.,Current profile; moderation status; field limits.,Edit; save; cancel.,Show setup prompt if profile incomplete.,Load and save skeleton.,"Validation, conflict, moderation rejection, network error.",Owner only.,Changed bio/name may return to review; audited status.,V1,New official edit flow derived from G1/G7.
M-PROF-003,Ảnh đại diện,Mobile,Authenticated user,"Upload, crop and manage avatar.",Current avatar; upload limits; moderation status.,Choose camera/library; crop; submit; remove.,Default safe avatar.,Upload/progress and pending-review state.,"Permission, file type/size, upload or moderation error.",Owner; camera/photo permission only when requested.,Pre-publication moderation; rejected image never public.,V1,Expand A4 avatar picker into a dedicated moderated flow.
M-PROF-004,Ảnh công khai,Mobile,Authenticated user,Manage approved public profile media.,Media list; sort order; moderation status; limits.,Upload; reorder; delete; open status.,Educational empty state with content rules.,Grid skeleton and per-file upload progress.,"Upload, permission, quota, moderation error.",Owner write; public reads approved items only.,Every upload starts pending_review.,V1,Replaces unmoderated assumptions in C1/G3.
M-PROF-005,Ảnh Album Fan,Mobile,Creator,Manage safe Fan-only media.,Fan album; media status; creator eligibility; limits.,Upload; reorder; remove; view rules.,Explain Fan Album is moderated and non-adult.,Grid skeleton/upload progress.,Creator ineligible; upload/moderation/quota error.,Approved Creator owns write; eligible Fans read approved media.,Pre-publication review; private storage; reportable.,V1,Rebuild G3; no “riêng tư hấp dẫn” positioning.
M-PROF-006,Trạng thái kiểm duyệt nội dung,Mobile,Authenticated uploader,"Explain pending, approved, rejected or removed media/profile state.",Moderation decision; reason category; timestamps; appeal eligibility.,View reason; edit/resubmit; appeal where allowed.,No items awaiting review.,Status timeline skeleton.,Decision unavailable; appeal submission error.,Owner only for private decision detail.,Moderation/audit data; no reviewer PII.,V1,New mandatory state missing from prototype.
M-PROF-007,Hồ sơ của tôi,Mobile,Authenticated user,View own Social and Creator profile summary.,Profile; approved media; support totals in ❤️; creator/fan status.,Edit; manage albums; share; settings.,Profile completion prompt.,Profile/media skeleton.,Load error with retry.,Owner; preview-public mode optional.,Only approved public media displayed.,V1,Keep G1 structure; rename “Quà nhận” to “❤️ được ủng hộ”; remove risky VIP claims.
M-PROF-008,Hồ sơ người khác,Mobile,Authenticated adult,View another approved profile and safe community actions.,Approved public profile/media; approximate location; friendship/block/follow state; support totals in ❤️.,Follow; request friendship; gift; report; block; view albums.,Unavailable/private/deleted profile state.,Profile skeleton.,Blocked/suspended/not found/network error.,Authenticated adult; blocked relationships denied.,Only approved UGC; contextual report/block.,V1,"Rebuild C1: no exact district/distance, no paid chat, no sexualized Fan prompt, VNĐ removed."
M-PROF-009,Yêu cầu xóa tài khoản,Mobile,Authenticated user,Submit deletion request and explain retention/grace period.,Account state; deletion policy; grace days; re-auth result.,Re-authenticate; request deletion; cancel before deadline where allowed.,Not applicable.,Submitting.,"Re-auth, legal hold or network error with clear next step.",Owner only; recent authentication required.,No moderation; privacy/audit requirement.,V1,New mandatory in-app deletion; add to G7 Settings.
M-PROF-010,Trạng thái xóa tài khoản,Mobile,Authenticated user with pending deletion,Show scheduled deletion and remaining actions.,Request date; effective date; retained-data summary; cancellation eligibility.,Cancel request; sign out; contact support.,No active request.,Loading status.,Status unavailable.,Owner only.,Privacy/audit.,V1,New.
M-DISC-001,Khám phá theo tỉnh/thành,Mobile,Authenticated adult,Browse approved users/Creators by selected province/city.,Selected province; paginated approved cards; friendship/block state; safe filters.,Open profile; change province; filter; refresh.,No approved profiles in province; suggest broader safe filters.,Card skeleton/infinite loading.,Network/query error; retry.,Authenticated adult; exclude blocked/suspended/deleted.,Cards use approved media only.,V1,Retain B1/B3 concept; Social Creator copy; no exact district or gendered payer/receiver role.
M-DISC-002,Bộ lọc khám phá,Mobile,Authenticated adult,Apply safe discovery filters.,Province; interests; Creator/fan/community tags; online status; approximate distance availability.,Apply; reset.,Defaults to broad safe discovery.,Load configuration.,Invalid/unavailable filter config.,Authenticated adult.,"Filter taxonomy reviewed; no “Kết hôn”, compensated dating or sexual intent.",V1,"Rebuild B2; remove “Kết hôn”; gender filter is optional policy decision, not financial-role segmentation."
M-DISC-003,Khám phá gần đây theo khoảng cách làm mờ,Mobile,Authenticated adult with location permission,Show nearby results using server-side fuzzy distance bands.,Own location permission; server query result; distance band; fuzz config.,Open profile; adjust radius band; switch to province.,No nearby approved results.,Card skeleton and location query state.,Location stale/denied/query error.,Location permission; never expose another user coordinates.,Approved cards only; abuse/rate monitoring.,V1,Replace B1 exact km presentation with broad approximate bands; no map pins.
M-DISC-004,Yêu cầu quyền vị trí,Mobile,Authenticated adult,Explain optional location use before OS permission prompt.,Permission status; privacy copy.,Allow; not now; use province instead.,Not applicable.,OS prompt transition.,Permission request unavailable.,Request foreground approximate location only when needed.,None.,V1,"Retain A5 but clarify optional, approximate and server-fuzzed use."
M-DISC-005,Không có quyền vị trí,Mobile,Authenticated adult,Provide useful discovery without location access.,Permission state; selected province.,Choose province; open settings; retry permission.,Province picker prompt.,Load province list.,Province/config load error.,No location required.,None.,V1,New explicit fallback state.
M-DISC-006,Không có kết quả khám phá,Mobile,Authenticated adult,Explain empty result without exposing hidden users.,Active filters; province; permission state.,Reset filters; change province; refresh.,This is the empty state.,Not applicable.,Refresh/query error separately displayed.,Authenticated adult.,Do not reveal moderation/block reasons for omitted users.,V1,New explicit state.
M-DISC-007,Chọn tỉnh/thành,Mobile,Authenticated adult,Select a supported administrative area.,Canonical province/city list; search index; result counts if privacy-safe.,Search; select; clear.,No matching province.,List skeleton.,Config unavailable.,Authenticated adult.,Counts may be bucketed to avoid privacy leakage.,V1,Retain B3; use current canonical list and privacy-safe counts.
M-DISC-008,Tìm kiếm username,Mobile,Authenticated adult,Find an approved profile by exact/partial username.,Query; approved results; block/privacy state.,Search; open profile; clear.,No matching approved user.,Debounced search loading.,Rate limit/network error.,Authenticated adult; rate limited.,Only approved visible profiles; no private identity data.,V1,Retain B4; remove exact district exposure.
M-FRND-001,Gửi lời mời kết bạn,Mobile,Authenticated adult,Request a mutual connection before chat.,Target profile; current relationship/block state; optional compliant intro; rate limit.,Send; cancel.,Not applicable.,Submitting.,"Already requested/friends, blocked, rate limit, suspended target.",Authenticated adult; no self-request.,Intro text moderated/reportable; anti-spam controls.,V1,New formal confirmation from C1 action; no paid bypass.
M-FRND-002,Lời mời đã nhận,Mobile,Authenticated adult,Review incoming friendship requests.,Incoming requests; profile preview; safety state.,Accept; decline; report; block.,No incoming requests.,List skeleton.,Load/action error.,Recipient only.,Profiles/intro moderated; report/block available.,V1,Split D4 received tab into official screen/state.
M-FRND-003,Lời mời đã gửi,Mobile,Authenticated adult,Review and cancel outgoing requests.,Outgoing requests; timestamps; state.,Cancel; open profile.,No outgoing requests.,List skeleton.,Load/cancel error.,Sender only.,None beyond profile moderation.,V1,Split D4 sent tab into official screen/state.
M-FRND-004,Bạn bè,Mobile,Authenticated adult,List accepted friends eligible for chat.,Accepted friendships; block/suspension state; last activity privacy setting.,Open chat/profile; unfriend; block.,No friends; explain request flow.,List skeleton.,Load error.,Relationship members only.,Approved profile media; safety actions.,V1,New; prototype lacks dedicated friends list.
M-CHAT-001,Danh sách chat,Mobile,Authenticated adult,List conversations available after accepted friendship.,Conversation membership; last message; unread count; block state.,Open chat; search; start from friend.,No conversations.,Conversation skeleton.,Realtime/load error.,Conversation member only; blocked chat hidden/disabled.,Message preview subject to enforcement/removal rules.,V1,Retain D1; ensure no stranger conversation appears.
M-CHAT-002,Chat realtime,Mobile,Friends,Exchange messages after mutual friendship acceptance.,Conversation; members; friendship; messages; moderation/removal state; send limits.,Send text; send approved gift event; report; block.,No messages; safe starter prompt.,History skeleton; send pending indicator.,"Disconnected, blocked, friendship ended, send/moderation error.",Accepted friends and conversation members only.,Report/block; message policy enforcement; audit deletions.,V1,Rebuild D2; VNĐ removed from gift bubbles; no anonymous/random chat.
M-CHAT-003,Chat chưa khả dụng,Mobile,Authenticated adult,Explain why chat is locked before friendship acceptance.,Friendship/request/block state.,Send/cancel request; return to profile.,Not applicable.,Relationship-state loading.,State unavailable.,No message send permission.,None.,V1,New mandatory guard screen; replaces any VIP bypass.
M-CHAT-004,Tin nhắn quà tặng,Mobile,Friends / gift sender and recipient,Render an immutable gift event inside chat.,Gift snapshot; quantity; gross ❤️; transaction status; message.,Open gift detail; report message if needed.,Not applicable.,Event placeholder.,Transaction unavailable/reversed state.,Conversation members only.,Gift copy/icon moderated; no VNĐ display.,V1,Replace D2 gift card price 150.000đ with ❤️ and status.
M-SAFE-001,Báo cáo người dùng hoặc nội dung,Mobile,Authenticated adult,Submit contextual safety report.,Target type/id; reason taxonomy; optional details/evidence; block choice.,Submit; block; cancel.,Not applicable.,Submitting/uploading evidence.,"Validation, duplicate, network error.",Authenticated; cannot report unavailable target without reference.,Creates moderation case and audit record.,V1,"New mandatory action from profile, photo, album and chat menus."
M-SAFE-002,Báo cáo đã gửi,Mobile,Reporter,Confirm receipt without revealing enforcement internals.,Report reference; support/appeal guidance.,Done; block target; open Safety Center.,Not applicable.,Not applicable.,Reference creation error.,Reporter only.,Moderation case privacy.,V1,New.
M-SAFE-003,Chặn người dùng,Mobile,Authenticated adult,Confirm immediate block effects.,Target; friendship/chat/follow state.,Block; cancel; optionally report.,Not applicable.,Submitting.,Already blocked/action error.,Authenticated; no self-block.,Block event audited; target not notified with reporter identity.,V1,New mandatory confirmation.
M-SAFE-004,Bỏ chặn người dùng,Mobile,Authenticated adult,Restore permitted visibility without restoring friendship automatically.,Blocked target; prior relationship state.,Unblock; cancel.,No blocked users.,Submitting.,Action error.,Block owner only.,Audit event.,V1,New mandatory screen/action.
M-SAFE-005,Danh sách đã chặn,Mobile,Authenticated adult,Manage blocked accounts.,Blocked-user list; safe profile summary.,Unblock; open limited detail.,No blocked users.,List skeleton.,Load error.,Owner only.,Do not show target exact location/activity.,V1,Add under G7 Settings.
M-SAFE-006,Trung tâm an toàn & khiếu nại,Mobile,Authenticated adult,"Explain safety rules, report status and appeal routes.",Safety articles; user enforcement notices; appeal eligibility.,Open standards; contact support; submit appeal.,No active cases.,Content/status loading.,Content unavailable; submission error.,Authenticated for case data; articles public-capable.,Trust & Safety controlled content.,V1,New.
M-HRT-001,Số dư ❤️,Mobile,Authenticated adult,Show purchased spendable hearts separately from Creator earnings.,"Spendable, held and debt units; recent ledger entries; purchase availability.",Nạp ❤️; view history; open debt notice.,Zero balance with top-up education.,Balance skeleton.,Ledger load error; stale status warning.,Owner only.,Financial privacy; no direct balance edits.,V1,Replace F1/H3 “Ví” single money balance with separate Số dư ❤️ and Thu nhập Creator.
M-HRT-002,Nạp ❤️,Mobile Android,Authenticated adult,Select Google Play Billing heart package.,7 active products; credited hearts; localized Play prices; billing availability.,Select package; start Play Billing; restore/check pending.,No products available; retry/support.,Product query and checkout state.,"Billing unavailable, account/payment error, verification error.",Owner; Google Play Billing only for Android digital goods.,No moderation; financial controls.,V1,Replaces E3 VietQR; only this approved purchase screen shows localized money price.
M-HRT-003,Google Play Billing đang xử lý,Mobile Android,Purchaser,Represent pending purchase and server verification safely.,Purchase token reference; product; state; timestamps.,Refresh status; close without duplicate credit.,Not applicable.,Pending/verification progress.,Verification delayed/failed with support reference.,Purchaser only.,Financial/audit.,V1,New mandatory state.
M-HRT-004,Nạp ❤️ thành công,Mobile Android,Purchaser,Confirm verified and credited purchase.,Product; credited units; localized charge; ledger reference.,Done; view balance/history.,Not applicable.,Not applicable.,"Credit status mismatch routes to support, never client-side retry credit.",Purchaser only.,Financial/audit.,V1,New; distinct from gift success E4.
M-HRT-005,Nạp thất bại hoặc bị hủy,Mobile Android,Purchaser,Explain billing failure/cancel without claiming credit.,Billing/error category; retry eligibility.,Retry; choose package; contact support.,Not applicable.,Not applicable.,This is error outcome; redact sensitive details.,Purchaser only.,Financial/audit where server received event.,V1,New.
M-HRT-006,Lịch sử nạp ❤️,Mobile,Authenticated adult,List Play purchases and states.,Purchase records; product; hearts; charged currency; status.,Open detail; refresh; contact support.,No purchases.,List skeleton.,Load error.,Owner only.,Financial privacy.,V1,New mandatory screen.
M-HRT-007,Chi tiết nạp / refund / revoked,Mobile,Purchaser,"Explain purchase verification, refund or revocation effects.",Purchase; refund event; unused recovery; debt; linked gifts summary.,Contact support; view debt restrictions.,Not applicable.,Detail skeleton.,Detail unavailable.,Owner only.,Financial/fraud details minimized; audit-backed.,V1,New mandatory refund state.
M-HRT-008,Danh mục 20 quà,Mobile,Authenticated adult,Browse active internal gifts priced 1–100 ❤️.,20 catalog items; active status; heart_price_units; balance.,Select gift; open confirmation.,No active gifts; retry/support.,Catalog skeleton.,Load/config error.,Authenticated adult.,Gift names/icons/copy reviewed.,V1,Rebuild E1; replace VNĐ and arbitrary categories with canonical ❤️ catalog.
M-HRT-009,Xác nhận tặng quà,Mobile,Authenticated adult,"Confirm recipient, quantity, message and total ❤️ before atomic gift command.",Recipient; gift snapshot; quantity; total units; balance; idempotency key.,Confirm gift; edit message/quantity; cancel.,Not applicable.,Submitting once; disable duplicate tap.,"Insufficient balance, blocked/suspended recipient, limit, transaction failure.",Authenticated; no self-gift; recipient eligible.,Message moderated; no external payment option.,V1,Rebuild E2; display ❤️ only and remove “Tổng thanh toán”/VietQR path.
M-HRT-010,Tặng quà thành công,Mobile,Sender,Confirm completed gift and Fan progress.,Gift transaction; gross ❤️; Fan progress/unlock; chat event reference.,Return to chat/profile; view Fan Album if unlocked.,Not applicable.,Not applicable.,"If status uncertain, show pending rather than false success.",Sender only.,Safe neutral copy; no meeting/content promise.,V1,"Rebuild E4; remove VNĐ; Fan unlock based on net support threshold, not specific gifts."
M-HRT-011,Tặng quà thất bại,Mobile,Sender,Explain failed/cancelled gift without ambiguous debit.,Failure state; balance result; support reference.,Retry with new idempotency key when safe; top up; cancel.,Not applicable.,Not applicable.,This is the error screen.,Sender only.,Financial audit.,V1,New explicit state.
M-HRT-012,Lịch sử quà đã tặng,Mobile,Authenticated adult,List outgoing gift transactions in ❤️.,Gift transactions; recipient public summary; status; timestamps.,Open detail/profile/chat.,No gifts sent.,List skeleton.,Load error.,Sender only.,Recipient only approved public summary; no VNĐ.,V1,New official screen.
M-HRT-013,Quà đã nhận,Mobile,Creator / recipient,List received gifts and separate Creator reward states.,Gift snapshots; gross ❤️; reward pending/available/held/reversed; sender privacy setting.,Open detail; earnings overview.,No gifts received.,List skeleton.,Load error.,Recipient only.,No VNĐ on Social list; sender content safety.,V1,"Rebuild F2; replace 60% with 70%, separate gift value from reward state."
M-HRT-014,Hạn chế do hoàn tiền / heart debt,Mobile,Purchaser with debt/hold,Explain non-spendable refund debt and restricted gifting.,Debt units; affected purchase; restriction; support route.,Review details; contact support; resolve through approved process.,No debt.,Status loading.,Status unavailable.,Owner only.,Fraud model details withheld; financial audit.,V1,New mandatory refund-fraud state.
M-CRT-001,Đăng ký Creator,Mobile,Authenticated adult,Apply to Creator program without gender assumptions.,Profile completeness; age status; eligibility; required steps.,Start application; review benefits/rules.,Not eligible with clear remediation.,Eligibility check.,Suspended/incomplete/network error.,Authenticated adult.,Profile/content history considered; no sexual-content promise.,V1,New mandatory onboarding.
M-CRT-002,Điều khoản Creator,Mobile,Creator applicant,Record versioned Creator reward and content obligations.,Creator Terms version; reward split; hold/refund rules.,Accept; decline; download/view.,Not applicable.,Document loading/saving.,Document unavailable; save failed.,Applicant only.,Legal/compliance-controlled copy.,V1,New.
M-CRT-003,KYC Creator,Mobile,Creator applicant,Collect identity verification securely.,KYC provider/form requirements; DOB; legal name; document/selfie status.,Submit; resume; cancel.,No KYC started.,Upload/provider progress.,"Permission, provider, mismatch, expired session.",Applicant; private KYC bucket/server only.,Sensitive data excluded from public UI/logs.,V1,Expand F3; KYC is separate from bank account and not a generic public form.
M-CRT-004,Trạng thái KYC,Mobile,Creator applicant,"Show pending, approved, rejected or resubmission-required state.",KYC state; safe reason; timestamps; retry eligibility.,Resubmit; contact support.,No application.,Status skeleton.,Status unavailable.,Applicant only.,No raw identity document display outside secure flow.,V1,New explicit state.
M-CRT-005,Tài khoản ngân hàng,Mobile,Approved Creator,Add and verify payout account.,Bank; account holder; masked number; verification status.,Add; edit before use; submit for approval.,No bank account; add prompt.,Verification/save state.,"Mismatch, duplicate, unsupported bank, network error.",Creator owner; recent auth; Admin review.,Sensitive private data; masked in UI/logs.,V1,Split F3 into dedicated secure bank flow.
M-CRT-006,Thu nhập Creator tổng quan,Mobile,Creator,"Show separate pending, available, held, paid and recovery balances.",Creator reward ledger summaries; hold policy; KYC/withdrawal status.,View pending/available; request withdrawal; resolve holds.,No earnings; educational state.,Balance skeleton.,Ledger load error.,Creator owner only.,Financial privacy.,V1,Replace F1 single wallet; Creator earnings not mixed with purchased hearts.
M-CRT-007,Thu nhập đang chờ,Mobile,Creator,Explain rewards in 7–14 day configurable hold.,Pending entries; available_at; linked gifts; hold state.,Open detail; read refund policy.,No pending earnings.,List skeleton.,Load error.,Creator owner only.,Financial/audit.,V1,New explicit screen.
M-CRT-008,Thu nhập khả dụng,Mobile,Creator,Show withdrawable reward units subject to eligibility.,Available entries; reserved units; minimum withdrawal; KYC/bank status.,Request withdrawal; open history.,No available earnings.,List skeleton.,Load error.,Creator owner only.,Financial/audit.,V1,New explicit screen.
M-FAN-001,Cài đặt ngưỡng Fan,Mobile,Approved Creator,Choose support threshold within configured safe range.,System min/max; current threshold; config version.,Set threshold; save; preview.,Use system default if unset.,Config/save state.,"Out-of-range, policy hold, network error.",Creator owner; Admin may override with audit.,Threshold copy cannot imply sexual/meeting access.,V1,"Rebuild G4: use total ❤️ threshold, not required gift list or VNĐ."
M-FAN-002,Tiến độ Fan,Mobile,Supporter,Show net eligible support toward one Creator threshold.,Completed minus refunded/reversed units; threshold; membership state.,Send approved gift; view rules.,Zero progress.,Progress skeleton.,Load error.,Supporter and target Creator relationship data only.,No quid-pro-quo content copy.,V1,Rebuild C4: replace 2/3 specific gifts and VNĐ with progress ❤️.
M-FAN-003,Album Fan bị khóa,Mobile,Authenticated adult,Explain safe eligibility without previewing unapproved/private content.,Threshold; net progress; approved item count; membership state.,View progress; gift; return.,Creator has no approved Fan media.,Metadata skeleton.,Access-state error.,Not eligible; no media URLs returned.,Private storage; approved item metadata only.,V1,Rebuild C2; no blurred sexualized teasers or “tặng đủ quà để xem ảnh hấp dẫn”.
M-FAN-004,Album Fan đã mở khóa,Mobile,Eligible Fan,View approved Fan media through authorized short-lived access.,Active membership; approved media; signed URLs; report/block state.,View; report; block; refresh access.,No approved Fan media yet.,Grid skeleton and signed-URL refresh.,"Membership expired/relocked, media removed, access error.",Active membership; blocked/suspended denied.,Every item pre-approved and reportable.,V1,New unlocked state; prototype only depicts locked album.
M-WDR-001,Yêu cầu rút Thu nhập Creator,Mobile,Eligible Creator,Reserve available reward units and submit manual-review withdrawal.,Available units; min/limits; heart_vnd_rate snapshot; KYC/bank/hold state.,Enter amount; confirm; submit.,Ineligible state with exact missing requirement.,Eligibility and submission state.,"Insufficient, below minimum, hold, stale balance, network error.",Approved Creator; KYC/bank approved; recent auth.,Financial/audit; no purchased-heart withdrawal.,V1,Rebuild F4: label Thu nhập Creator; show ❤️ and VNĐ; no promise “24 giờ” unless configured SLA.
M-WDR-002,Lịch sử rút tiền,Mobile,Creator,List withdrawal requests and states.,Requests; units; VNĐ snapshot; status; timestamps.,Open detail; filter.,No withdrawals.,List skeleton.,Load error.,Creator owner only.,Financial privacy.,V1,Retain F5 with state model requested→review→approved→processing→paid/exception.
M-WDR-003,Chi tiết yêu cầu rút,Mobile,Creator,"Explain one withdrawal, reservation and Admin decision.",Request; status timeline; masked bank; amount; reason; payment reference if paid.,Cancel when allowed; contact support.,Not applicable.,Detail skeleton.,Detail unavailable.,Creator owner only.,Sensitive fields masked; audit-backed.,V1,New explicit detail state.
M-WDR-004,Giữ/thu hồi Thu nhập Creator,Mobile,Creator with hold/recovery,Explain held or recovery units caused by refund/risk review.,Held/recovery units; linked safe references; restriction; appeal route.,View details; contact support/appeal.,No hold/recovery.,Status loading.,Status unavailable.,Creator owner only.,Fraud model details withheld; audit.,V1,New mandatory refund/withdrawal-risk state.
A-AUTH-001,Admin Login,Admin Web,Admin,Authenticate authorized staff.,Supabase Auth; MFA/role claims; session policy.,Sign in; MFA; sign out.,Not applicable.,Auth state.,"Invalid credentials, missing role, lockout.",Trusted app_metadata/admin authorization only.,No UGC; security logs.,V1,New; no Admin UI in prototype.
A-AUTH-002,Không có quyền Admin,Admin Web,Authenticated non-admin / insufficient role,Deny access without leaking data.,Role/permission result.,Return; sign out; request internal access.,Not applicable.,Permission check.,Authorization service unavailable.,No module data returned.,Security audit.,V1,New.
A-DASH-001,Dashboard,Admin Web,Admin / Ops / Finance / Trust & Safety,"Summarize operational, safety and financial queues.","User, Creator, hearts, gifts, rewards, refunds, KYC, withdrawals, reports metrics.",Open queues; filter date; export allowed summaries.,Zero-activity dashboard.,Widget skeletons.,Partial-widget errors isolated.,Role-scoped metrics.,Aggregated data; no unnecessary KYC detail.,V1,New.
A-USR-001,Danh sách User,Admin Web,Support / Trust & Safety Admin,Search and filter accounts safely.,Profile/status/role/age-confirmation summary; violations; risk flags.,Search; filter; open detail; export restricted.,No matching users.,Table skeleton.,Query/error state.,Role-scoped; no password/token access.,Approved/rejected content indicators.,V1,New.
A-USR-002,Chi tiết User,Admin Web,Authorized Admin,"Review account, profile, friendships summary, blocks/reports, financial references and deletion state.",User/profile; moderation history; masked finance/KYC statuses; audit.,Suspend; restore; route to modules; request deletion workflow.,User not found/deleted.,Section skeletons.,Partial access/query error.,Least privilege; sensitive tabs role-gated.,UGC and enforcement review.,V1,New.
A-USR-003,Khóa / mở khóa / xóa User,Admin Web,Trust & Safety / Privacy Admin,Apply controlled account action.,Current state; reason taxonomy; evidence; deletion/retention rules.,Suspend; ban; restore; approve deletion.,Not applicable.,Submitting.,"Conflict, insufficient role, active legal hold.",Restricted role; dual approval where configured.,Mandatory reason and immutable audit.,V1,New.
A-MEDIA-001,Ảnh đã tải lên,Admin Web,Moderator,Search all media by moderation status.,Media metadata; owner; album type; classifier result; status.,Open review; filter; bulk triage only where safe.,No matching media.,Thumbnail/table skeleton.,Private-media access or query error.,Moderator; signed access; no public KYC media.,Core moderation queue source.,V1,New.
A-MOD-001,Hàng đợi kiểm duyệt,Admin Web,Moderator,Prioritize pending/reported media and profile text.,Queue; risk score; SLA; report count; assignment.,Assign; open; filter.,Queue empty.,Queue skeleton.,Query/assignment error.,Moderator role.,All decisions audited.,V1,New.
A-MOD-002,Chi tiết kiểm duyệt,Admin Web,Moderator,"Approve, reject, remove or escalate one item.",Content; context; policy taxonomy; prior decisions; reports.,Approve; reject; remove; escalate; request resubmission.,Item unavailable/removed.,Secure media loading.,Access/decision conflict.,Assigned/authorized moderator.,"Reason, policy version, actor and timestamps required.",V1,New.
A-RPT-001,Danh sách Reports,Admin Web,Trust & Safety,Manage user/content/message reports.,Reports; target; reason; severity; status; SLA.,Filter; assign; open; merge duplicates.,No reports.,Table skeleton.,Query error.,Trust & Safety role.,Reporter identity protected.,V1,New.
A-RPT-002,Chi tiết Report,Admin Web,Trust & Safety,Investigate context and decide action.,Report; target snapshot; conversation/media context; enforcement history.,Resolve; enforce; dismiss; escalate; notify.,Target unavailable; preserve evidence reference.,Secure context loading.,Missing evidence/access conflict.,Need-to-know role.,Immutable case and decision audit.,V1,New.
